School,County,testnum2016,15less2016,15more2016,highrate2016,testnum2020,15less2020,15more2020,highrate2020,all0,ratechange,order,countyorder
X285,Bronx,84,76,8,0.095238095,86,86,0,0,0.095238095,0.095238095,1,1
HARPURSVILLE JSHS,Broome,105,84,21,0.2,114,111,3,0.026315789,0.226315789,0.173684211,1,2
VESTAL SHS,Broome,264,248,16,0.060606061,283,283,0,0,0.060606061,0.060606061,2,2
W A OLMSTED ES,Broome,84,68,16,0.19047619,87,87,0,0,0.19047619,0.19047619,3,2
AUBURN HS,Cayuga,60,55,5,0.083333333,94,90,4,0.042553191,0.125886525,0.040780142,1,3
CASEY PARK ES,Cayuga,34,31,3,0.088235294,42,42,0,0,0.088235294,0.088235294,2,3
SHERMAN JSHS,Chautauqua,141,126,15,0.106382979,106,99,7,0.066037736,0.172420715,0.040345243,1,4
HUDSON SENIOR HIGH SCHOOL (and MS for lead reporting),Columbia,243,219,24,0.098765432,190,173,17,0.089473684,0.188239116,0.009291748,1,5
HOMER INTERMEDIATE SCHOOL,Cortland,103,97,6,0.058252427,93,91,2,0.021505376,0.079757804,0.036747051,1,6
HOMER JHS,Cortland,49,45,4,0.081632653,140,106,34,0.242857143,0.324489796,-0.16122449,2,6
BLACK RIVER SCHOOL,Jefferson,104,98,6,0.057692308,148,148,0,0,0.057692308,0.057692308,1,7
HAROLD T WILEY SCHOOL,Jefferson,110,90,20,0.181818182,106,104,2,0.018867925,0.200686106,0.162950257,2,7
KNICKERBOCKER SCHOOL,Jefferson,83,77,6,0.072289157,100,98,2,0.02,0.092289157,0.052289157,3,7
NORTH ELEMENTARY SCHOOL,Jefferson,57,39,18,0.315789474,71,69,2,0.028169014,0.343958488,0.28762046,4,7
OHIO STREET SCHOOL,Jefferson,65,44,21,0.323076923,79,70,9,0.113924051,0.437000974,0.209152872,5,7
SHERMAN SCHOOL,Jefferson,70,65,5,0.071428571,89,87,2,0.02247191,0.093900482,0.048956661,6,7
STARBUCK ELEMENTARY SCHOOL,Jefferson,50,45,5,0.1,91,90,1,0.010989011,0.110989011,0.089010989,7,7
WATERTOWN S H S,Jefferson,88,60,28,0.318181818,93,88,5,0.053763441,0.371945259,0.264418377,8,7
K008,Kings,96,89,7,0.072916667,87,87,0,0,0.072916667,0.072916667,1,8
